2022-05-15 00:05:135 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4c0d39ec1a0319e05414a2058899f4e2)] -> link text: Log in]
2022-05-15 00:05:563 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:233 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ffdd52262401a3e98ddbcc64fd47176a)] -> link text: Log in]
2022-05-15 00:05:615 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:315 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e502c7131595f510082cb53afcdcbd51)] -> link text: Log in]
2022-05-15 00:05:681 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:81 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dc0e1635e26c172990cb6dc3c26adc57)] -> link text: Log in]
2022-05-15 00:05:933 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dc0e1635e26c172990cb6dc3c26adc57)] -> link text: Log in]
2022-05-15 00:05:683 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:832 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4f59e874dd8fc68175c5506684bad74e)] -> link text: Log in]
2022-05-15 00:05:905 INFO  LoginPage :50 - Getting text from : [[ChromeDriver: chrome on WINDOWS (4f59e874dd8fc68175c5506684bad74e)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:676 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:370 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1c823693b0e8fceac2525f84842b55b7)] -> link text: Log in]
2022-05-15 00:05:849 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:618 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a892155618609174e6fb6441a57ff23a)] -> link text: Log in]
2022-05-15 00:05:91 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:960 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (26e4eb34caa8f4550b997f1bd4c1b4d4)] -> link text: Log in]
2022-05-15 00:05:362 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:777 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1f2b775f0ba69a0aadcef3dad05e9f05)] -> link text: Log in]
2022-05-15 00:05:327 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1f2b775f0ba69a0aadcef3dad05e9f05)] -> link text: Log in]
2022-05-15 00:05:215 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:56 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f050298f65fa2508f723eedd6b39208c)] -> link text: Log in]
2022-05-15 00:05:93 INFO  LoginPage :50 - Getting text from : [[ChromeDriver: chrome on WINDOWS (f050298f65fa2508f723eedd6b39208c)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:904 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:390 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (231c17d0a115a84f15efa9e4f44e8363)] -> link text: Log in]
2022-05-15 00:05:801 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:531 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ee630643c97202a6b3dbde14a8951422)] -> link text: Log in]
2022-05-15 00:05:952 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:741 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ae3019a7c4725f92bd07c1fe63b108cf)] -> link text: Log in]
2022-05-15 00:05:147 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:609 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (addb93d7ca5d9560db83d1d24481c2e4)] -> link text: Log in]
2022-05-15 00:05:164 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (addb93d7ca5d9560db83d1d24481c2e4)] -> link text: Log in]
2022-05-15 00:05:192 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:545 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b8493921b3dd3bd934ba1981c2f471f1)] -> link text: Log in]
2022-05-15 00:05:588 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (b8493921b3dd3bd934ba1981c2f471f1)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:420 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:761 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (beb9c31e3e412d480f1c06ca0e70af07)] -> link text: Log in]
2022-05-15 00:05:174 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:675 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a50d56e9f05bcb9646a6bf8aaebdad6c)] -> link text: Log in]
2022-05-15 00:05:42 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:488 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (1f166720f1655239d14390b50539fd34)] -> link text: Log in]
2022-05-15 00:05:849 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:286 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f7ad5af44db7a372f826ba37a11fbff3)] -> link text: Log in]
2022-05-15 00:05:855 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f7ad5af44db7a372f826ba37a11fbff3)] -> link text: Log in]
2022-05-15 00:05:860 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:604 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (43cbe8382db6ecd779ccef7ac685a1c3)] -> link text: Log in]
2022-05-15 00:05:249 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (43cbe8382db6ecd779ccef7ac685a1c3)] -> link text: Log in]
2022-05-15 00:05:158 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:938 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0bd1386794592415e24be527c4e27bbd)] -> link text: Log in]
2022-05-15 00:05:974 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (0bd1386794592415e24be527c4e27bbd)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:767 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:161 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4102a542713cca8401b43998067d6145)] -> link text: Log in]
2022-05-15 00:05:584 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:239 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c889f325f7ca557ab5973d57db66ae38)] -> link text: Log in]
2022-05-15 00:05:662 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:411 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ed5c5c1c7421d1d47f0de49a82846541)] -> link text: Log in]
2022-05-15 00:05:778 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:260 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (10207b1c0266aba5f796339e7295187f)] -> link text: Log in]
2022-05-15 00:05:807 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (10207b1c0266aba5f796339e7295187f)] -> link text: Log in]
2022-05-15 00:05:40 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:921 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (fe2b0a7c1264a91da30ee8e3a2ae0db1)] -> link text: Log in]
2022-05-15 00:05:960 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (fe2b0a7c1264a91da30ee8e3a2ae0db1)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:764 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:160 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e7a89ff1eefbf5f18d10114c8527cfc0)] -> link text: Log in]
2022-05-15 00:05:524 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:948 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (84c33eec388de856274834c4cea088ad)] -> link text: Log in]
2022-05-15 00:05:378 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:330 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c9e38e223a6842a8f13b46d99b2d19a9)] -> link text: Log in]
2022-05-15 00:05:746 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:147 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b86bbab8bf6f3dde096b77e5106c26c1)] -> link text: Log in]
2022-05-15 00:05:703 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b86bbab8bf6f3dde096b77e5106c26c1)] -> link text: Log in]
2022-05-15 00:05:305 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:155 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (2c5b3a1fb60f1d85021db26555b8b445)] -> link text: Log in]
2022-05-15 00:05:197 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (2c5b3a1fb60f1d85021db26555b8b445)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 00:05:962 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:456 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (f9299cb74f3bce7d1020e185d7d4c3da)] -> link text: Log in]
2022-05-15 00:05:853 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:586 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (69bfd4fc6594ea445a033e6f033747b7)] -> link text: Log in]
2022-05-15 00:05:990 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:417 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (584534de0ca1c2a64cdbabc668d45003)] -> link text: Log in]
2022-05-15 00:05:736 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:234 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c21ba7a09f7263036d084c3af7500f40)] -> link text: Log in]
2022-05-15 00:05:843 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 00:05:582 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c903c94168b2d5e69d17ea8c42ed90fe)] -> link text: Log in]
2022-05-15 01:05:996 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 01:05:275 INFO  HomePage :35 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (58dbcdcbc746b03c73ebf5aa937d7a3b)] -> link text: Log in]
